solute,solvent,Gsolv
COc1ccc(cc1)C(=O)N(C)C,O,-11.01
CN(C)C(=O)c1ccc(C)cc1,O,-9.76
ClCCOCCCl,O,-4.23
CC(OC(C)=O)OC(C)=O,O,-4.97
CCOC(C)OCC,O,-3.28
CCOC(=O)CC(=O)OCC,O,-6.0
COCOC,O,-2.9509
CC(=O)OCCOC(C)=O,O,-6.34
CCOCCOCC,O,-3.54
C1=CC=C(C=C1)OC=O,O,-3.82
[nH]1ccnc1,O,-9.63
[O-][N+](=O)OCCO[N+]([O-])=O,O,-5.73
CCCCO[N+]([O-])=O,O,-2.09
CC(C)CO[N+]([O-])=O,O,-1.88
O(CCO[N+]([O-])=O)[H],O,-8.18
COCN(c1c(CC)cccc1CC)C(=O)CCl,O,-8.21
C1=CC=C2C(=C1)C(N(N=N2)CS[P](=S)(OC)OC)=O,O,-10.03
C1(=CC(=CC(=C1N(CC)CCCC)[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,O,-3.51
CNC(=O)Oc1cccc2c1OC(C2)(C)C,O,-9.61
C1=C(C=CC(=C1)Cl)SCS[P](=S)(OCC)OCC,O,-6.5
C([N+](=O)[O-])(Cl)(Cl)Cl,O,-1.45
CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C,O,-6.48
COC1=C(Cl)C=CC(Cl)=C1C(=O)O,O,-9.86
CCN(CC)C1=C(C=C(C(=C1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-],O,-5.66
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,O,-6.1
CC1=CC(=O)CC(C)(C)C1,O,-5.18
CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])S(=O)(=O)C)[N+](=O)[O-],O,-7.98
CC(=O)CO[N+]([O-])=O,O,-5.99
CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-],O,-6.74
CCCCN(C(=O)SCCC)CC,O,-3.64
CCOP(=S)(OCC)SCSCC,O,-4.37
CCCN(CC1CC1)C2=C(C=C(C=C2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],O,-2.45
CCC(=O)Nc1ccc(c(c1)Cl)Cl,O,-7.78
Nc1cnn(c(=O)c1Cl)c1ccccc1,O,-16.43
CCNc1nc(NCC)nc(n1)Cl,O,-10.055
Cc1[nH]c(=O)n(c(=O)c1Cl)C(C)(C)C,O,-11.14
CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],O,-3.25
CCCSC(=O)N(CCC)CCC,O,-4.13
CN(C(=O)Oc1nc(nc(c1C)C)N(C)C)C,O,-9.41
CCCCOC(=O)c1ccc(O)cc1,O,-8.72
Cn1cnc2N(C)C(=O)N(C)C(=O)c12,O,-12.64
ClC1=CC(=O)NC(=O)N1,O,-15.83
O=C1NC(=O)NC(=O)N1,O,-18.06
OC(=O)c1cc(ccc1O)c2ccc(F)cc2F,O,-9.4
CCOC(=O)c1ccc(O)cc1,O,-9.2
IC1=CNC(=O)NC1=O,O,-18.72
COC(=O)c1ccc(O)cc1,O,-9.348333333
FC1(F)C(F)(F)C(F)(F)C1(F)F,O,3.43
O=C1NC(=O)c2ccccc12,O,-9.61
CCCOC(=O)c1ccc(O)cc1,O,-9.37
O=[S]1(=O)CCCC1,O,-8.61
COC(OC)(OC)C(F)(F)F,O,-0.8
Ic1ccccc1,O,-1.750766667
ICI,O,-2.49
CI,O,-0.89
CCI,O,-0.742033333
CCCI,O,-0.555766667
CCCCI,O,-0.25
CCCCCI,O,-0.14
CC(C)I,O,-0.46
C(Cl)(Cl)(Cl)Cl,O,0.07
C=CC1=CC=CC=C1,O,-1.27
C1CCC(CC1)O,O,-5.44
C1CCC=CC1,O,0.36
CC(=C)c1ccccc1,O,-1.28
CC(C)(C)c1ccccc1,O,-0.42
CC(C)C1=CC=CC=C1,O,-0.34
CC1=CCCCC1,O,0.66
CCC(C)(C)O,O,-4.43
CCCCCCCCC,O,2.98
CCCCCCCCCC,O,3.18
CC(C)CO,O,-4.52
CCCC1=CC=CC=C1,O,-0.56
CCCCC1=CC=CC=C1,O,-0.37
CCCCCC#C,O,0.59
CCCCCC=C,O,1.66
CCCCCC=O,O,-2.74
CCCCCC1=CC=CC=C1,O,-0.23
CCCCCCC#C,O,0.71
CCCCCCC=C,O,1.93
CCCCCCC=O,O,-2.67
CCCCCCCC=C,O,2.06
CCN(CC)CC,O,-3.22
C1=CC(=CC(=C1)Cl)O,O,-6.62
C1=CC(=CC=C1[N+](=O)[O-])O,O,-10.65
C1=CC=C(C(=C1)N)Cl,O,-4.91
C1=CC=C(C=C1)CO,O,-6.79
C1=CC=C2C(=C1)C=CC=C2N,O,-7.4
C(CCl)Cl,O,-1.79
C=CCC=C,O,0.94
C=CCCC=C,O,0.97
C1=CC=C(C=C1)C2=CC=CC=C2,O,-2.66
C1=CC=C2C(=C1)C=CC3=CC=CC=C32,O,-3.8
C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2,O,-4.77
C1C2=CC=CC=C2C3=CC=CC=C31,O,-3.34
C1CC2=CC=CC3=C2C1=CC=C3,O,-3.18
CC(=C)C(=C)C,O,0.4
CC(=C)C=C,O,0.68
CC(C)(C)Br,O,0.85
CC(C)(C)Cl,O,1.09
CC(C)C(C)C(C)C,O,2.57
CC(C)C=C,O,1.84
CC(C)C=O,O,-2.86
CC(C)CC(=O)C,O,-3.06
CC=C(C)C,O,1.37
CC1CCCC1,O,1.6
CCC(=O)OCC,O,-2.7
CCC(C)(C)C,O,2.51
CCC(C)C,O,2.39
CCCC(=O)OCC,O,-2.52
CCCC(C)(C)C,O,2.88
CCCCCCCC(=O)C,O,-2.5
CCCCCCCCC=O,O,-2.08
CCCCCCCCCO,O,-3.9
CCCCCCOC(=O)C,O,-2.29
CCCOCCC,O,-1.23
CN(C)C=O,O,-7.77
COC(=O)C1=CC=C(C=C1)[N+](=O)[O-],O,-6.76
C(C(Cl)(Cl)Cl)(Cl)Cl,O,-1.31
C(C(Cl)Cl)(Cl)Cl,O,-2.45
C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)C2=C(C(=C(C(=C2Cl)Cl)Cl)Cl)Cl,O,-3.05
C1=C(C(=CC(=C1Cl)Cl)Cl)Cl,O,-1.34
C1=C(C=C(C(=C1Cl)Cl)Cl)Cl,O,-1.62
C1=C(C=C(C=C1Cl)Cl)Cl,O,-0.78
C1=CC(=C(C(=C1)Cl)C2=C(C=CC=C2Cl)Cl)Cl,O,-2.17
C1=CC(=C(C(=C1)Cl)Cl)Cl,O,-1.24
C1=CC(=C(C(=C1Cl)Cl)Cl)Cl,O,-1.34
C1=CC(=C(C=C1Cl)Cl)Cl,O,-1.16
C1=CC(=CC(=C1)Cl)Cl,O,-1.05
C1=CC=C(C=C1)C2=CC(=C(C(=C2Cl)Cl)Cl)Cl,O,-3.29
C1CC2=CC=CC=C2C1,O,-1.42
CC(C)CCO,O,-4.41
CC1=CC(=CC(=C1)C)C,O,-0.77
CC1=CC2=C(C=C1)C=C(C=C2)C,O,-2.37
CC1=CC2=CC=CC=C2C=C1C,O,-2.72
CCC(CC)O,O,-4.35
CCC1=CC=CC=C1C,O,-0.95
CCCCCC(=O)OCC,O,-2.24
CCCCCl,O,-0.23
CC(C)C(C)C,O,2.36
CCC(C)CC,O,2.47
CCC1=CC=C(C=C1)O,O,-6.14
CCCCC(C)C,O,2.93
CCOCCO,O,-6.7
C(CCCl)CCl,O,-2.32
C(CCl)CCl,O,-1.89
C1CCC(=O)CC1,O,-4.91
C1=CC(=CC(=C1)O)[N+](=O)[O-],O,-9.63
C1=CC(=CC=C1O)Cl,O,-7.04
C1=CC=C(C(=C1)C=O)O,O,-4.71
C1=CC=C(C(=C1)N)[N+](=O)[O-],O,-7.43
C1=CC=C(C(=C1)O)Cl,O,-4.56
C1=CC=C(C(=C1)O)F,O,-5.29
C1=CC=C(C(=C1)O)I,O,-6.21
C1=CC=C2C(=C1)C=CC=C2O,O,-7.93
C1=CC=C2C=C(C=CC2=C1)O,O,-8.12
CC1=C(C(=CC=C1)C)O,O,-5.26
CC1=C(C(=CC=C1)O)C,O,-6.12
CC1=C(C=C(C=C1)O)C,O,-6.51
CC1=CC(=C(C=C1)C)O,O,-5.92
CC1=CC(=C(C=C1)O)C,O,-6.02
CC1=CC(=CC(=C1)O)C,O,-6.28
CCC1=CC=CC=C1O,O,-5.85
COC1=CC=CC=C1O,O,-5.67
C1=CC(=CC(=C1)[N+](=O)[O-])N,O,-8.84
C1=CC(=CC=C1N)Cl,O,-5.91
C1=CC=C(C(=C1)[N+](=O)[O-])O,O,-4.58
C1=CC=C(C=C1)CCO,O,-6.79
C1CCCC(CC1)O,O,-5.48
CCCC(C)(C)O,O,-3.92
CCCCCCN,O,-4.0
COC1=CC=CC(=C1)O,O,-7.67
CCCCOCCCC,O,-0.8
CS(=O)(=O)Cl,O,-4.87
CCC(C(C)C)O,O,-3.88
CCc1ccccn1,O,-4.33
CCCCC(=O)OCC,O,-2.49
COC(=O)C1CC1,O,-4.1
CCCCC#N,O,-3.49
CC(C)C(=O)C(C)C,O,-2.56
Cc1cccc(c1C)Nc2ccccc2C(=O)O,O,-6.78
CN(C)C(=O)c1ccccc1,O,-9.29
CC(C)(C)c1ccc(cc1)O,O,-5.91
CC(C)CCOC=O,O,-2.13
CCCCCCCCCCO,O,-3.69
C(C(C(C(C(CO)O)O)O)O)O,O,-23.62
COc1cccc(c1O)OC,O,-6.96
c1ccc(cc1)C(F)(F)F,O,-0.25
c1ccc2c(c1)Oc3cc(c(cc3O2)Cl)Cl,O,-3.56
CCCCCCCCN,O,-3.73
c1ccc(c(c1)C(F)(F)F)C(F)(F)F,O,1.07
CCCCCC(=O)N,O,-9.31
c1ccc2c(c1)C(=O)c3cccc(c3C2=O)NCCO,O,-14.21
C1C=CC=CC=C1,O,-0.99
c1ccc2c(c1)Cc3ccccc3C2,O,-3.78
CC(Cl)Cl,O,-0.84
CCCCCCCCBr,O,0.52
CC(C)SC(C)C,O,-1.21
c1cc2c(cc1Cl)Oc3cc(c(c(c3O2)Cl)Cl)Cl,O,-3.84
CCOC,O,-2.1
COC(CCl)(OC)OC,O,-4.59
CC(C)CC(=O)O,O,-6.09
CCCC(CC)O,O,-4.06
CN(CC(F)(F)F)c1ccccc1,O,-1.92
COC(c1ccccc1)(OC)OC,O,-4.04
CCOC(=O)c1ccccc1,O,-3.74
c1cc(cc(c1)O)C#N,O,-9.65
c1cc(c(cc1c2c(c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl,O,-4.38
COc1c(cc(c(c1O)OC)Cl)Cl,O,-6.44
CC(C)Cc1cnccn1,O,-5.04
c1ccc(cc1)c2cc(ccc2Cl)Cl,O,-2.46
c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl,O,-3.17
C=C(Cl)Cl,O,0.22
CCCOC(=O)CC,O,-2.45
Cc1ccc(cc1)C(C)C,O,-0.67
Cn1ccnc1,O,-8.41
CCCOC=O,O,-2.51
c1ccc2c(c1)Oc3ccc(cc3O2)Cl,O,-3.1
CCOC(=O)CCC(=O)OCC,O,-5.71
C1=CC(=O)C=CC1=O,O,-6.5
COC(=O)CCl,O,-4.0
c1cc2c(cc1Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,O,-4.15
c1ccnc(c1)Cl,O,-4.39
Cc1ccc(cc1)C(=O)C,O,-4.7
C=O,O,-2.75
CC(=O)N1CCCC1,O,-9.8
CC(OC)(OC)OC,O,-4.42
c12c(c(c(c(c1Cl)Cl)Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,O,-4.53
CC(C)OC(=O)C,O,-2.59
c1ccc2c(c1)Oc3c(cc(c(c3O2)Cl)Cl)Cl,O,-4.05
CCCCCCO[N+](=O)[O-],O,-1.66
CCCOCCO,O,-6.4
C1C(C(C(C(O1)O)O)O)O,O,-20.52
CC(C)COC(=O)C(C)C,O,-1.69
C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,O,-2.55
COC(=O)C(F)(F)F,O,-1.1
COS(=O)(=O)C,O,-4.87
CC(C)NC(C)C,O,-3.22
c1cc2c(cc1Cl)Oc3ccc(cc3O2)Cl,O,-3.67
CC(C)(C)C(=O)OC,O,-2.4
c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)O)N,O,-9.53
c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)N)N,O,-11.85
CCCCCCI,O,0.08
Cc1cc(c2ccccc2c1)C,O,-2.47
COC(OC)OC,O,-4.42
Cc1c[nH]c2c1cccc2,O,-5.88
CC(C)C(=O)C,O,-3.24
CCCCS,O,-0.88
c1ccc2c(c1)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,O,-3.81
COc1c(c(c(c(c1Cl)C=O)Cl)OC)O,O,-8.68
CC(=O)c1cccnc1,O,-8.26
Cc1cccc(c1C)C,O,-1.15
Cc1cccs1,O,-1.38
CC1CCC(O1)C,O,-2.92
Cc1ccc(c(c1)OC)O,O,-5.8
C1C(C2C(C1Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,O,-3.44
CC(C)COC=O,O,-2.22
CCCCCOC(=O)CC,O,-2.11
CCCc1ccc(cc1)O,O,-5.21
COC(C(Cl)Cl)(F)F,O,-1.12
CCOCCOC(=O)C,O,-5.31
COc1cccc(c1)N,O,-7.29
c1cc(cnc1)C=O,O,-7.1
Cn1cccc1,O,-2.89
CCCCCCCCCC(=O)C,O,-2.15
CCCc1ccc(c(c1)OC)O,O,-5.26
c1cc(ccc1C#N)O,O,-10.17
CS(=O)(=O)C,O,-10.08
CCc1cccc(c1)O,O,-6.25
CC1=CCC(CC1O)C(=C)C,O,-4.44
COc1ccccc1OC,O,-5.33
c1cc(cnc1)C#N,O,-6.75
c1cc(c(cc1O)Cl)Cl,O,-7.29
CCCCCCCCC(=O)C,O,-2.34
CN(C)CCOC(c1ccccc1)c2ccccc2,O,-9.34
c1ccc(cc1)Oc2ccccc2,O,-2.87
c1cnccc1C=O,O,-7.0
c1cc(cnc1)Cl,O,-4.01
CN1CCCCC1,O,-3.88
CC1CCC(C(=O)C1)C(C)C,O,-2.53
C(C1C(C(C(C(O1)O)O)O)O)O,O,-25.47
c1ccc2c(c1)Oc3ccccc3O2,O,-3.15
C=C(c1ccccc1)c2ccccc2,O,-2.78
CCc1ccc(cc1)C,O,-0.95
COCC(OC)(OC)OC,O,-5.73
COS(=O)(=O)OC,O,-5.1
COC(=O)C1CCCCC1,O,-3.3
CCCCCCBr,O,0.18
CCCCCCCBr,O,0.34
c1ccc2c(c1)Oc3cccc(c3O2)Cl,O,-3.52
COC(CC#N)(OC)OC,O,-6.4
COc1cc(c(c(c1O)OC)Cl)C=O,O,-7.78
c1ccc(cc1)Cn2ccnc2,O,-7.63
CC(=O)C1CC1,O,-4.61
c1cc[nH]c1,O,-4.78
CN(C)CCC=C1c2ccccc2CCc3c1cccc3,O,-7.43
c1cc(ccc1O)F,O,-6.19
Cc1ccc(c(c1)C)C,O,-0.83
CC1CCC(CC1=O)C(=C)C,O,-3.75
COP(=S)(OC)Oc1ccc(cc1)[N+](=O)[O-],O,-7.19
CC(c1cccc(c1)C(=O)c2ccccc2)C(=O)O,O,-10.78
CCCC(=C)C,O,1.46
CC(c1ccc(c(c1)F)c2ccccc2)C(=O)O,O,-8.42
Cc1ccc(cc1)C=O,O,-4.27
CCCC(=O)OCCC,O,-2.28
Cc1ccc(c2c1cccc2)C,O,-2.82
c1c2c(cc(c1Cl)Cl)Oc3cc(c(cc3O2)Cl)Cl,O,-3.37
CCOC(OCC)Oc1ccccc1,O,-5.23
C(CBr)Br,O,-2.2
Cc1cccc(c1N)C,O,-5.21
c1ccc2c(c1)cccn2,O,-5.72
CCc1cccc2c1cccc2,O,-2.3
c1c(c(c(c(c1Cl)Cl)Cl)Cl)c2c(cc(c(c2Cl)Cl)Cl)Cl,O,-4.61
COc1ccccc1N,O,-6.12
CCC(=O)N,O,-9.4
Cc1cccnc1C,O,-4.82
c1cnccc1C#N,O,-6.02
CC(=O)C1CCCCC1,O,-3.9
Cc1ccccc1C=O,O,-3.93
CC(=O)c1ccncc1,O,-7.62
c1c2c(cc(c1Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,O,-3.71
c1cc(c(cc1Cl)c2cc(c(c(c2)Cl)Cl)Cl)Cl,O,-3.61
CCCCC[N+](=O)[O-],O,-2.82
CCCC=CC=O,O,-3.68
CN(C)C(=O)c1ccc(cc1)[N+](=O)[O-],O,-11.95
CC(CCO[N+](=O)[O-])O[N+](=O)[O-],O,-4.29
CCCCCC1CCCC1,O,2.55
c1cc(c(c(c1)Cl)c2c(cc(cc2Cl)Cl)Cl)Cl,O,-1.96
c1ccc(cc1)OC(C(F)F)F,O,-1.29
c1ccc(cc1)CCCO,O,-6.92
COc1ccc(cc1)C(=O)OC,O,-5.33
CC(C)CCOC(=O)C,O,-2.29
CCCCCCCl,O,0.0
c1cc(cc(c1)Cl)N,O,-5.9
CCSC,O,-1.5
CCCC1CCCC1,O,2.13
CC(C)CCC(C)(C)C,O,2.94
CCCCOCCO,O,-6.25
CCc1cccnc1,O,-4.59
c1ccc2cc(ccc2c1)N,O,-7.47
Cc1c[nH]cn1,O,-10.27
CC1=CC(=O)C(CC1)C(C)C,O,-4.51
C(CO[N+](=O)[O-])CO[N+](=O)[O-],O,-4.8
CC(c1ccc(cc1)CC(C)C)C(=O)O,O,-7.0
Cc1cc(ccc1Cl)O,O,-6.79
CC1CCC(C(C1)O)C(C)C,O,-3.2
CC(C)OC=O,O,-2.02
CC(=C)C1CCC(=CC1)C=O,O,-4.09
CCCCCCCI,O,0.27
CC(C)COC(=O)C,O,-2.41
COC(=O)CC#N,O,-6.72
COc1ccc(cc1)N,O,-7.54
CC(C)Cc1ccccc1,O,0.19
c1ccc(cc1)c2c(cc(cc2Cl)Cl)Cl,O,-2.16
c1ccc2c(c1)C(=O)c3ccc(cc3C2=O)N,O,-11.53
CCCCOCC(C)O,O,-5.73
Cc1cccc2c1cccc2,O,-2.32
CCCCCC=CC=O,O,-3.43
CCCCCCCCl,O,0.29
