solute,solvent,Gsolv_before,Gsolv
CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,[2H]O[2H],1.84,0.609765572
CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,[2H]O[2H],1.64,0.494696242
CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,[2H]O[2H],4.36,1.472472057
O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,[2H]O[2H],4.36,1.472472057
O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,[2H]O[2H],4.8,1.568615918
CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CO,2.46,0.90016135
CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CO,2.15,0.765467842
O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CO,4.28,1.45395301
O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CO,4.59,1.523880024
CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CCO,2.45,0.896088025
O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CCO,4.25,1.446918983
CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CC(C)O,3.26,1.181727195
CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CC(C)O,2.69,0.989541194
CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CC(C)O,3.96,1.376244025
O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CC(C)O,4.36,1.472472057
O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CC(C)O,4.36,1.472472057
CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CCCO,3.27,1.184789985
CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CCCO,2.79,1.026041596
CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CCCO,3.95,1.373715579
O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CCCO,4.42,1.486139696
O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CCCO,4.3,1.458615023
CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CCCCO,3.37,1.214912744
CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CCCCO,2.98,1.091923301
CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CCCCO,3.89,1.358409158
O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CCCCO,4.4,1.481604541
O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CCCCO,4.3,1.458615023
CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CCCCCCO,3.41,1.226712291
CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CCCCCCO,3.09,1.128171091
CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CCCCCCO,3.88,1.355835154
O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CCCCCCO,4.48,1.499623046
O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CCCCCCO,4.27,1.451613827
CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CCCCCCCCO,3.42,1.229640551
CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CCCCCCCCO,3.18,1.156881197
CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CCCCCCCCO,3.83,1.342864803
O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CCCCCCCCO,4.52,1.508511994
O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CCCCCCCCO,4.17,1.427916036
O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,O,1.425,0.354171814
O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,O,0.115,-2.162823151
O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,O,0.095,-2.353878387
O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,CO,3.28,1.187843422
O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CO,0.5,-0.693147181
O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CO,0.655,-0.423120043
O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,CCO,3.62,1.286474026
O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CCO,0.565,-0.570929548
O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CCO,0.82,-0.198450939
O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,CC(C)O,3.715,1.312378678
O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CC(C)O,0.66,-0.415515444
O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CC(C)O,1.015,0.014888612
CCC(=O)c1ccc2cc(N(C)C)ccc2c1,C1CCCCC1,1.6,0.470003629
CCC(=O)c1ccc2cc(N(C)C)ccc2c1,c1ccccc1,3.3,1.193922468
CCC(=O)c1ccc2cc(N(C)C)ccc2c1,OCC(O)CO,3.8,1.335001067
CCC(=O)c1ccc2cc(N(C)C)ccc2c1,O,2.1,0.741937345
O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,CCCCO,21.6,3.072693315
O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,CCCO,21,3.044522438
O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,CCO,18,2.890371758
O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,CO,13.6,2.610069793
O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,OCCO,11.8,2.468099531
O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,OCC(O)CO,9,2.197224577
c1ccc2ccccc2c1,C1CCCCC1,96,4.564348191
C[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,64,4.158883083
C[SiH](C)c1cccc2ccccc12,C1CCCCC1,61,4.110873864
CCCC[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,63,4.143134726
CC(C)(C)[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,56,4.025351691
CCCCCCCC[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,62,4.127134385
C[Si](C)(C)c1ccc([Si](C)(C)C)c2ccccc12,C1CCCCC1,23,3.135494216
C[SiH](C)c1ccc([SiH](C)C)c2ccccc12,C1CCCCC1,30,3.401197382
CC(C)(C)[Si](C)(C)c1ccc([Si](C)(C)C(C)(C)C)c2ccccc12,C1CCCCC1,12,2.48490665
COc1ccc([Si](C)(C)C)c2ccccc12,C1CCCCC1,10,2.302585093
C[Si](C)(C)c1ccc(C#N)c2ccccc12,C1CCCCC1,11,2.397895273
C[Si](C)(C)c1cccc2c(C#N)cccc12,C1CCCCC1,8,2.079441542
C[Si](C)(C)C#Cc1cccc2ccccc12,C1CCCCC1,9,2.197224577
C[Si](C)(C)C#Cc1ccc(C#C[Si](C)(C)C)c2ccccc12,C1CCCCC1,2,0.693147181
CCCCCCCCCCCCn1cccc1/C=C/c1cc(OCCCC)c(/C=C/c2cccn2CCCCCCCCCCCC)cc1OCCCC,Cc1ccccc1,1.26,0.231111721
CCCCCCCCCCCCn1cccc1/C=C/c1ccc(OCCCC)c2c(/C=C/c3cccn3CCCCCCCCCCCC)ccc(OCCCC)c12,Cc1ccccc1,2.74,1.00795792
CCCCCCCCCCCCn1cccc1/C=C/c1ccc(/C=C/c2cccn2CCCCCCCCCCCC)cc1,Cc1ccccc1,1.06,0.058268908
N#Cc1cc2ccc(cc2)c2cccc3cccc(c4ccc(cc4)cc(C#N)c4ccc(cc4)c4cccc5cccc(c6ccc1cc6)c54)c32,Cc1ccccc1,20.6,3.025291076
CCCCCCCCc1ccc(-c2ccc(/C=C(\C#N)c3ccc(-c4cccc5cccc(-c6ccc(/C(C#N)=C/c7ccc(-c8ccc(CCCCCCCC)cc8)cc7)cc6)c45)cc3)cc2)cc1,Cc1ccccc1,4.9,1.589235205
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CCCCCC,2.4,0.875468737
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,C1COCCO1,2.6,0.955511445
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CCO,2.4,0.875468737
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CC#N,2.5,0.916290732
ClP1(Cl)=NP(Cl)(Cl)=NP(Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,ClCCl,3.289,1.190583567
ClP1(Cl)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,ClCCl,2.017,0.701611259
ClP1(Cl)=N[P@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,ClCCl,3.019,1.104925651
c1ccc2c(c1)OP1(=NP3(=NP(Oc4ccc5ccc6cccc7ccc4c5c67)(Oc4ccc5ccc6cccc7ccc4c5c67)=N1)Oc1ccccc1-c1ccccc1O3)Oc1ccccc1-2,ClCCl,1.228,0.20538683
c1ccc2c(c1)OP1(=NP(Oc3ccc4ccc5cccc6ccc3c4c56)(Oc3ccc4ccc5cccc6ccc3c4c56)=NP(Oc3ccc4ccc5cccc6ccc3c4c56)(Oc3ccc4ccc5cccc6ccc3c4c56)=N1)Oc1ccccc1-2,ClCCl,1.233,0.209450224
c1cc2ccc3ccc(OP4(Oc5ccc6ccc7cccc8ccc5c6c78)=NP(Oc5ccc6ccc7cccc8ccc5c6c78)(Oc5ccc6ccc7cccc8ccc5c6c78)=NP(Oc5ccc6ccc7cccc8ccc5c6c78)(Oc5ccc6ccc7cccc8ccc5c6c78)=N4)c4ccc(c1)c2c34,ClCCl,2.496,0.914689451
CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4ccc(C5=C6C(C)=CC(C)=[N+]6[B-](F)(F)n6c(C)cc(C)c65)cc4)s3)N(CC(CC)CCCC)C(=O)C2=C1c1cccs1,Cc1ccccc1,3.87,1.353254507
CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4ccc(C5=C6C(C)=CC(C)=[N+]6[B-](F)(F)n6c(C)cc(C)c65)cc4)s3)N(CC(CC)CCCC)C(=O)C2=C1c1ccc(-c2ccc(C3=C4C(C)=CC(C)=[N+]4[B-](F)(F)n4c(C)cc(C)c43)cc2)s1,Cc1ccccc1,3.36,1.211940974
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,O,0.3544,-1.03732906
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,CC#N,0.3397,-1.079692404
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,CCO,0.4618,-0.772623382
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,OCC(O)CO,0.4731,-0.748448496
COc1ccccc1-c1nc(-c2ccccc2)c2ccccn12,CC#N,7.5,2.014903021
C(=C/c1nc(-c2ccccc2)c2ccccn12)\c1nc(-c2ccccc2)c2ccccn12,CC#N,1,0
O=C(O)c1ccccc1-c1nc(-c2ccccc2)c2ccccn12,CC#N,5.5,1.704748092
O=C(O)c1ccc(-c2nc(-c3ccccc3)c3ccccn23)cc1,CC#N,1.5,0.405465108
O=C(O)c1ccc(-c2nc(-c3ccccc3)c3c4ccccc4ccn23)cc1,CC#N,2.5,0.916290732
O=C(O)c1ccc(-c2ccc(-c3nc(-c4ccccc4)c4ccccn34)cc2)s1,CC#N,1.5,0.405465108
O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,CCO,15.18,2.719978772
O=C1c2cccc3c(NCc4ccccn4)c4ccccc4c(c23)C(=O)N1Cc1ccccn1,CCO,3.56,1.269760545
CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,CCO,5.52,1.70837786
CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,CCO,1.66,0.506817602
O=C(O)CCCc1cc(C#Cc2ccccc2)c2ccc3c(C#Cc4ccccc4)cc(C#Cc4ccccc4)c4ccc1c2c34,ClC(Cl)(Cl)Cl,1.57,0.451075619
O=C(O)CCCc1cc(C#Cc2ccccc2)c2ccc3c(C#Cc4ccccc4)cc(C#Cc4ccccc4)c4ccc1c2c34,CS(C)=O,1.89,0.636576829
O=C1NC(=O)c2ccc(N3CCCCC3)c3cccc1c23,ClC(Cl)Cl,8.862,2.181772473
O=C1NC(=O)c2ccc(N3CCOCC3)c3cccc1c23,ClC(Cl)Cl,8.649,2.157443707
O=C1NC(=O)c2ccc(N3CCCCC3)c3cccc1c23,ClCCl,7.023,1.949190477
O=C1NC(=O)c2ccc(N3CCOCC3)c3cccc1c23,ClCCl,8.377,2.125489855
O=C1NC(=O)c2ccc(N3CCCCC3)c3cccc1c23,C1CCOC1,7.023,1.949190477
O=C1NC(=O)c2ccc(N3CCOCC3)c3cccc1c23,C1CCOC1,8.377,2.125489855
Cc1ccc(N(CC(=O)[O-])CC(=O)[O-])c(OCCOc2cc3cc(-c4ncc(C(=O)[O-])o4)oc3cc2N(CC(=O)[O-])CC(=O)[O-])c1,O,1.09,0.086177696
Cc1ccc(N(CC(=O)[O-])CC(=O)[O-])cc1OCCOc1cc(-c2cc3ccc(C(=O)[O-])cc3[nH]2)ccc1N(CC(=O)[O-])CC(=O)[O-],O,1.4,0.336472237
CC(=O)OCOC(=O)CN(CC(=O)OCOC(C)=O)c1ccccc1OCCOc1cc(NC(=O)c2ccc3c(c2)C(=O)OC32c3cc(Cl)c(OC(C)=O)cc3Oc3cc(OC(C)=O)c(Cl)cc32)ccc1N(CC(=O)OCOC(C)=O)CC(=O)OCOC(C)=O,O,0.92,-0.083381609
COc1cc(N(CC(=O)[O-])CC(=O)[O-])c2nc(COc3cc(C)ccc3N(CC(=O)[O-])CC(=O)[O-])ccc2c1,O,1.35,0.300104592
COc1cc(N(CC(=O)[O-])CC(=O)[O-])c2ncccc2c1,O,0.84,-0.174353387
O=C([O-])COc1cc(NC(=O)c2ccc(-c3c4cc(Cl)c(=O)cc-4oc4cc(O)c(Cl)cc34)c(C(=O)[O-])c2)ccc1N(CC(=O)[O-])CC(=O)[O-],O,1.21,0.19062036
COc1cc2cc(-c3ccc(C(=O)OCOC(C)=O)cc3C(=O)OCOC(C)=O)oc2cc1N1CCOCCOCCN(c2cc3oc(-c4ccc(C(=O)OCOC(C)=O)cc4C(=O)OCOC(C)=O)cc3cc2OC)CCOCCOCC1,O,0.52,-0.653926467
COc1cc(N2CCOCCOCCN(c3cc(OC)c(NC(=O)c4ccc(-c5c6cc(Cl)c(=O)cc-6oc6cc([O-])c(Cl)cc56)c(C(=O)[O-])c4)cc3OC)CCOCC2)c(OC)cc1NC(=O)c1ccc(-c2c3cc(Cl)c(=O)cc-3oc3cc([O-])c(Cl)cc23)c(C(=O)[O-])c1,O,1.13,0.122217633
CCN1CCCc2cc3c(cc21)Oc1cc2c(cc1=N3)C(CS(=O)(=O)[O-])CC(C)(C)[N+]=2CCCC(=O)[O-],O,3.6,1.280933845
CN(C)c1ccc2cc3ccc(N(C)C)cc3nc2c1,O,2,0.693147181
Nc1ccc2c(-c3ccc(C(=O)CN4C(=O)CCC4=O)cc3C(=O)[O-])c3ccc(=[NH2+])c(S(=O)(=O)[O-])c-3oc2c1S(=O)(=O)[O-],O,4.1,1.410986974
CC1(CCCCC(=O)NCCCCCCO)C(/C=C/C=C/C=C2/N(CCCS(=O)(=O)[O-])c3ccc(S(=O)(=O)[O-])cc3C2(C)C)=[N+](CCCS(=O)(=O)[O-])c2ccc(S(=O)(=O)[O-])cc21,O,1,0
CC1=CC(C)=[N+]2C1=Cc1ccc(CCC(=O)ON3C(=O)CCC3=O)n1[B-]2(F)F,CO,5.7,1.740466175
CCN(CC)c1ccc2cc(-c3nc4ccccc4s3)c(=O)oc2c1,CCO,2.5,0.916290732
CC1(C)C2=C3C=C4C5=[N+](CCC4OC3CCN2c2ccc(CC(=O)NCCCCCCO)cc21)c1ccc(S(=O)(=O)[O-])cc1C5(C)C,O,2.8,1.029619417
CN1/C(=C/C=C/C2=[N+](CCCCCC(=O)O)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21,O,0.3,-1.203972804
O=C([O-])c1cc(N2C(=O)C=CC2=O)ccc1-c1c2cc(F)c(=O)cc-2oc2cc([O-])c(F)cc12,O,4.1,1.410986974
CC1(C)C(/C=C/C=C/C=C/C=C2\N(CCCCS(=O)(=O)[O-])c3ccc4ccccc4c3C2(C)C)=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21,O,0.52,-0.653926467
NC(=O)C1=CN([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)C[C@@H]3O)O2)C=CC1,O,0.4,-0.916290732
CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,O,3,1.098612289
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,CCO,1.05,0.048790164
c1ccc2[nH]ccc2c1,O,4.49,1.501852702
Nc1ncc2nc[nH]c2n1,O,11.34,2.428336298
N[C@@H](Cc1ccc(O)cc1)C(=O)O,O,3.27,1.184789985
Nc1ccccc1C(=O)O,O,8.6,2.151762203
c1ccc2cc3ccccc3cc2c1,CO,5.1,1.62924054
c1ccc2cc3ccccc3cc2c1,C1CCCCC1,5.3,1.667706821
N#Cc1c2ccccc2cc2ccccc12,CO,16,2.772588722
N#Cc1c2ccccc2cc2ccccc12,C1CCCCC1,12.7,2.541601993
c1ccc(-c2c3ccccc3c(-c3ccccc3)c3ccccc23)cc1,CO,8.7,2.163323026
c1ccc(-c2c3ccccc3c(-c3ccccc3)c3ccccc23)cc1,C1CCCCC1,7.5,2.014903021
Cn1c2ccccc2c2ccccc21,C1CCCCC1,14.1,2.646174797
O=C1OC2(c3ccccc31)c1cc(I)c(O)c(I)c1Oc1c2cc(I)c(O)c1I,O,0.089,-2.419118909
O=C1OC2(c3ccccc31)c1cc(I)c(O)c(I)c1Oc1c2cc(I)c(O)c1I,CO,0.47,-0.755022584
c1ccc(-c2c3ccccc3c(-c3ccccc3)c3c(-c4ccccc4)c4ccccc4c(-c4ccccc4)c23)cc1,CO,9.9,2.292534757
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,CO,1.17,0.157003749
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,C1CCCCC1,0.98,-0.020202707
O=S(=O)([O-])CCC[n+]1c2ccccc2cc2ccccc21,O,31.2,3.440418095
CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,O,1.74,0.553885113
CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CO,2.5,0.916290732
O=S(=O)([O-])c1cc(O)c2ccc3c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c4ccc1c2c34,O,5.4,1.686398954
NNC(=O)N1C(=O)c2cc(S(=O)(=O)[O-])cc3c(N)c(S(=O)(=O)[O-])cc(c23)C1=O,O,5.7,1.740466175
O=S(=O)([O-])c1cc(S(=O)(=O)Cl)ccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,O,4.2,1.435084525
N#Cc1cccc2[nH]ccc12,O,9.1,2.208274414
N#Cc1ccc2[nH]ccc2c1,O,0.3,-1.203972804
N#Cc1ccc2cc[nH]c2c1,O,0.6,-0.510825624
N#Cc1cccc2cc[nH]c12,O,2,0.693147181
N#Cc1cc2ccccc2[nH]1,C1CCOC1,2.9,1.064710737
N#Cc1c[nH]c2ccccc12,C1CCOC1,3.1,1.131402111
N#Cc1cccc2[nH]ccc12,C1CCOC1,5.3,1.667706821
N#Cc1ccc2[nH]ccc2c1,C1CCOC1,4.4,1.481604541
N#Cc1ccc2cc[nH]c2c1,C1CCOC1,3.7,1.30833282
N#Cc1cccc2cc[nH]c12,C1CCOC1,6.9,1.931521412
N#Cc1cc2ccccc2[nH]1,C1COCCO1,2.9,1.064710737
N#Cc1c[nH]c2ccccc12,C1COCCO1,3,1.098612289
N#Cc1cccc2[nH]ccc12,C1COCCO1,5.3,1.667706821
N#Cc1ccc2[nH]ccc2c1,C1COCCO1,4.2,1.435084525
N#Cc1ccc2cc[nH]c2c1,C1COCCO1,3.9,1.360976553
N#Cc1cccc2cc[nH]c12,C1COCCO1,7.5,2.014903021
N#Cc1cc2ccccc2[nH]1,CC#N,0.9,-0.105360516
N#Cc1c[nH]c2ccccc12,CC#N,1.8,0.587786665
N#Cc1cccc2[nH]ccc12,CC#N,5.4,1.686398954
N#Cc1ccc2[nH]ccc2c1,CC#N,4.4,1.481604541
